prime_mover,variable,category,variable_type
ST,capacity_adj,fixed,core
ST,gas_fixed_adj,fixed,optional
ST,oil_fixed_adj,fixed,optional
ST,high_median_CF_fixed_adj,fixed,unused
ST,mid_median_CF_fixed_adj,fixed,unused
ST,low_median_CF_fixed_adj,fixed,unused
ST,median_CF_fixed_adj,fixed,unused
ST,age_fixed_adj,fixed,core
ST,gas_age_fixed_adj,fixed,optional
ST,oil_age_fixed_adj,fixed,unused
ST,age_obs_fixed_adj,fixed,unused
ST,pollution_fixed_adj,fixed,core
ST,gas_pollution_fixed_adj,fixed,optional
ST,CHP_fixed_adj,fixed,unused
ST,duct_burners_fixed_adj,fixed,unused
ST,pulverized_coal_fixed_adj,fixed,optional
ST,supercritical_fixed_adj,fixed,optional
ST,gen_adj,variable,core
ST,oil_variable_adj,variable,unused
ST,age_variable_adj,variable,core
ST,gas_age_variable_adj,variable,optional
ST,age_obs_variable_adj,variable,core
ST,pollution_variable_adj,variable,core
ST,high_median_CF_adj,variable,unused
ST,mid_median_CF_adj,variable,unused
ST,low_median_CF_adj,variable,unused
ST,median_CF_adj,variable,unused
ST,CHP_variable_adj,variable,optional
ST,fluidized_bed_variable_adj,variable,optional
ST,supercritical_variable_adj,variable,optional
ST,starts_adj,start,core
ST,gas_starts_adj,start,optional
ST,oil_starts_adj,start,unused
CC,capacity_adj,fixed,core
CC,gas_fixed_adj,fixed,unused
CC,oil_fixed_adj,fixed,unused
CC,high_median_CF_fixed_adj,fixed,unused
CC,mid_median_CF_fixed_adj,fixed,unused
CC,low_median_CF_fixed_adj,fixed,unused
CC,median_CF_fixed_adj,fixed,unused
CC,age_fixed_adj,fixed,optional
CC,gas_age_fixed_adj,fixed,unused
CC,oil_age_fixed_adj,fixed,optional
CC,age_obs_fixed_adj,fixed,unused
CC,pollution_fixed_adj,fixed,unused
CC,gas_pollution_fixed_adj,fixed,unused
CC,CHP_fixed_adj,fixed,optional
CC,duct_burners_fixed_adj,fixed,optional
CC,pulverized_coal_fixed_adj,fixed,unused
CC,supercritical_fixed_adj,fixed,unused
CC,gen_adj,variable,optional
CC,oil_variable_adj,variable,unused
CC,age_variable_adj,variable,core
CC,gas_age_variable_adj,variable,unused
CC,age_obs_variable_adj,variable,core
CC,pollution_variable_adj,variable,core
CC,high_median_CF_adj,variable,unused
CC,mid_median_CF_adj,variable,unused
CC,low_median_CF_adj,variable,unused
CC,median_CF_adj,variable,unused
CC,CHP_variable_adj,variable,unused
CC,fluidized_bed_variable_adj,variable,unused
CC,supercritical_variable_adj,variable,unused
CC,starts_adj,start,core
CC,gas_starts_adj,start,unused
CC,oil_starts_adj,start,optional
GT,capacity_adj,fixed,core
GT,gas_fixed_adj,fixed,unused
GT,oil_fixed_adj,fixed,optional
GT,high_median_CF_fixed_adj,fixed,unused
GT,mid_median_CF_fixed_adj,fixed,unused
GT,low_median_CF_fixed_adj,fixed,unused
GT,median_CF_fixed_adj,fixed,unused
GT,age_fixed_adj,fixed,core
GT,gas_age_fixed_adj,fixed,unused
GT,oil_age_fixed_adj,fixed,optional
GT,age_obs_fixed_adj,fixed,core
GT,pollution_fixed_adj,fixed,unused
GT,gas_pollution_fixed_adj,fixed,unused
GT,CHP_fixed_adj,fixed,unused
GT,duct_burners_fixed_adj,fixed,unused
GT,pulverized_coal_fixed_adj,fixed,unused
GT,supercritical_fixed_adj,fixed,unused
GT,gen_adj,variable,core
GT,oil_variable_adj,variable,optional
GT,age_variable_adj,variable,core
GT,gas_age_variable_adj,variable,unused
GT,age_obs_variable_adj,variable,core
GT,pollution_variable_adj,variable,unused
GT,high_median_CF_adj,variable,unused
GT,mid_median_CF_adj,variable,unused
GT,low_median_CF_adj,variable,unused
GT,median_CF_adj,variable,unused
GT,CHP_variable_adj,variable,unused
GT,fluidized_bed_variable_adj,variable,unused
GT,supercritical_variable_adj,variable,unused
GT,starts_adj,start,core
GT,gas_starts_adj,start,unused
GT,oil_starts_adj,start,optional
