area_fips,area_title,State
1000,Alabama -- Statewide,AL
2000,Alaska -- Statewide,AK
4000,Arizona -- Statewide,AZ
5000,Arkansas -- Statewide,AR
6000,California -- Statewide,CA
8000,Colorado -- Statewide,CO
9000,Connecticut -- Statewide,CT
10000,Delaware -- Statewide,DE
11000,District of Columbia,DC
12000,Florida -- Statewide,FL
13000,Georgia -- Statewide,GA
15000,Hawaii -- Statewide,HI
16000,Idaho -- Statewide,ID
17000,Illinois -- Statewide,IL
18000,Indiana -- Statewide,IN
19000,Iowa -- Statewide,IA
20000,Kansas -- Statewide,KS
21000,Kentucky -- Statewide,KY
22000,Louisiana -- Statewide,LA
23000,Maine -- Statewide,ME
24000,Maryland -- Statewide,MD
25000,Massachusetts -- Statewide,MA
26000,Michigan -- Statewide,MI
27000,Minnesota -- Statewide,MN
28000,Mississippi -- Statewide,MS
29000,Missouri -- Statewide,MO
30000,Montana -- Statewide,MT
31000,Nebraska -- Statewide,NE
32000,Nevada -- Statewide,NV
33000,New Hampshire -- Statewide,NH
34000,New Jersey -- Statewide,NJ
35000,New Mexico -- Statewide,NM
36000,New York -- Statewide,NY
37000,North Carolina -- Statewide,NC
38000,North Dakota -- Statewide,ND
39000,Ohio -- Statewide,OH
40000,Oklahoma -- Statewide,OK
41000,Oregon -- Statewide,OR
42000,Pennsylvania -- Statewide,PA
44000,Rhode Island -- Statewide,RI
45000,South Carolina -- Statewide,SC
46000,South Dakota -- Statewide,SD
47000,Tennessee -- Statewide,TN
48000,Texas -- Statewide,TX
49000,Utah -- Statewide,UT
50000,Vermont -- Statewide,VT
51000,Virginia -- Statewide,VA
53000,Washington -- Statewide,WA
54000,West Virginia -- Statewide,WV
55000,Wisconsin -- Statewide,WI
56000,Wyoming -- Statewide,WY
72000,Puerto Rico -- Statewide,PR
