,type,old_names,mean,max,min,mode,new_type,agg_method,round
plant_id_eia,Int64,Plant_ID,21485.45404,61242,3,2494,Int64,,
generator_id,object,Generator_ID,,un14,1,1,object,,
utility_id_eia,float64,utility_id_eia,23999.2676,64709,25,18642,Int64,first,
plant_name_eia,object,Plant_Name,,Zuni,491 E 48th Street,Gowanus Gas Turbines Generating,object,first,
state,object,State,,WY,AL,TX,category,first,
balancing_authority_code_eia,object,Balancing_Authority_Code,,,,PJM,category,mode,
unit_code,object,unit_code,,,,CC1,object,,
latitude,float64,Latitude,37.35061256,48.9905,24.563333,40.6635,float64,first,
longitude,float64,Longitude,-89.66267883,-68.7094,-123.48,-74.0051,float64,first,
operational_capacity_in_report_year,float64,operational_capacity_in_report_year,181.78758,1425.6,3,60.5,float64,sum,
technology_1,object,Technology_1,,Wood/Wood Waste Biomass,All Other,Natural Gas Fired Combustion Turbine,category,mode,
status_860m,object,status_860m,,,,(OP) Operating,category,,
energy_source_code_860m,object,energy_source_code_860m,,WDS,BFG,NG,category,mode,
prime_mover_code,object,Prime,,ST,CA,GT,category,,
fuel_group_energy_source_code_860m,object,fuel_group_energy_source_code_860m,,,,natural_gas,category,mode,
multiple_fuels,float64,Multiple_Fuels.,0.311518325,1,0,0,Int64,cap_wt_avg,1
cofire_fuels,float64,Cofire_Fuels.,0.12478185,1,0,0,Int64,cap_wt_avg,1
associated_combined_heat_power,float64,chp,0.068062827,1,0,0,Int64,cap_wt_avg,1
duct_burners,float64,duct_burners,0.961605585,1,0,1,Int64,cap_wt_avg,1
bypass_heat_recovery,float64,bypass_hrsg,0.878708551,1,0,1,Int64,cap_wt_avg,1
solid_fuel_gasification,float64,gasification,0.0008726,1,0,0,Int64,cap_wt_avg,1
carbon_capture,float64,ccs,0.000581734,1,0,0,Int64,cap_wt_avg,1
fluidized_bed_tech,float64,fluidized_bed,0.012798138,1,0,0,Int64,cap_wt_avg,1
pulverized_coal_tech,float64,pulverized_coal,0.162885398,1,0,0,Int64,cap_wt_avg,1
stoker_tech,float64,stoker,0.002617801,1,0,0,Int64,cap_wt_avg,1
other_combustion_tech,float64,other_comb,0.00814427,1,0,0,Int64,cap_wt_avg,1
subcritical_tech,float64,subcritical,0.153286795,1,0,0,Int64,cap_wt_avg,1
supercritical_tech,float64,supercritical,0.033740547,1,0,0,Int64,cap_wt_avg,1
ultrasupercritical_tech,float64,ultrasupercritical,0.000290867,1,0,0,Int64,cap_wt_avg,1
sector,object,Sector,,Industrial Non-CHP,Commercial CHP,Electric Utility,category,mode,
final_gen_type,object,final_gen_type,,non_multifuel,cofired,non_multifuel,category,mode,
rmi_energy_source_code_1,object,rmi_energy_source_code_1,,,,NG,category,,
rmi_energy_source_code_2,object,rmi_energy_source_code_2,,,,DFO,category,,
rmi_energy_source_code_3,object,rmi_energy_source_code_3,,,,DFO,category,,
rmi_energy_source_code_4,object,rmi_energy_source_code_4,,,,PC,category,,
rmi_energy_source_code_5,object,rmi_energy_source_code_5,,,,WO,category,,
rmi_energy_source_code_6,object,rmi_energy_source_code_6,,,,BIT,category,,
operating_or_retired_860m,object,operating_or_retired_860m,,retired,operating,operating,category,,
td_retirement,,,,,,,,cap_wt_avg,
retirement_month,float64,Retirement_Month,6.860589812,12,1,12,,,
retirement_year,float64,Retirement_Year,2018.630027,2022,2007,2018,,,
td_planned_retirement,,,,,,,,cap_wt_avg,
planned_retirement_month,float64,Planned_Retirement_Month,9.724458204,12,1,12,,,
planned_retirement_year,float64,Planned_Retirement_Year,2026.693498,2058,2022,2023,,,
fuel_group_rmi_energy_source_code_2,object,fuel_group_rmi_energy_source_code_2,,,,petroleum,category,,
fuel_group_rmi_energy_source_code_3,object,fuel_group_rmi_energy_source_code_3,,,,coal,category,,
fuel_group_rmi_energy_source_code_4,object,fuel_group_rmi_energy_source_code_4,,,,coal,category,,
fuel_group_rmi_energy_source_code_5,object,fuel_group_rmi_energy_source_code_5,,,,coal,category,,
fuel_group_rmi_energy_source_code_6,object,fuel_group_rmi_energy_source_code_6,,,,coal,category,,
rmi_energy_source_code_1_co2_emissions_factor,float64,rmi_energy_source_code_1_co2_emissions_factor,6.32E-08,2.74E-07,0,5.31E-08,float64,,
rmi_energy_source_code_1_co2e_emissions_factor,float64,rmi_energy_source_code_1_co2e_emissions_factor,6.34E-08,2.74E-07,0,5.31E-08,float64,,
rmi_energy_source_code_2_co2_emissions_factor,float64,rmi_energy_source_code_2_co2_emissions_factor,7.39E-08,1.09E-07,0,7.41E-08,float64,,
rmi_energy_source_code_2_co2e_emissions_factor,float64,rmi_energy_source_code_2_co2e_emissions_factor,7.42E-08,1.11E-07,0,7.43E-08,float64,,
rmi_energy_source_code_3_co2_emissions_factor,float64,rmi_energy_source_code_3_co2_emissions_factor,7.91E-08,1.18E-07,5.21E-08,7.41E-08,float64,,
rmi_energy_source_code_3_co2e_emissions_factor,float64,rmi_energy_source_code_3_co2e_emissions_factor,7.97E-08,1.20E-07,5.23E-08,7.43E-08,float64,,
rmi_energy_source_code_4_co2_emissions_factor,float64,rmi_energy_source_code_4_co2_emissions_factor,8.36E-08,1.09E-07,5.29E-08,8.60E-08,float64,,
rmi_energy_source_code_4_co2e_emissions_factor,float64,rmi_energy_source_code_4_co2e_emissions_factor,8.45E-08,1.11E-07,5.31E-08,8.80E-08,float64,,
rmi_energy_source_code_5_co2_emissions_factor,float64,rmi_energy_source_code_5_co2_emissions_factor,7.16E-08,1.02E-07,4.17E-08,7.40E-08,float64,,
rmi_energy_source_code_5_co2e_emissions_factor,float64,rmi_energy_source_code_5_co2e_emissions_factor,7.19E-08,1.04E-07,4.17E-08,7.40E-08,float64,,
rmi_energy_source_code_6_co2_emissions_factor,float64,rmi_energy_source_code_6_co2_emissions_factor,9.06E-08,9.77E-08,5.31E-08,9.33E-08,float64,,
rmi_energy_source_code_6_co2e_emissions_factor,float64,rmi_energy_source_code_6_co2e_emissions_factor,9.14E-08,9.85E-08,5.31E-08,9.40E-08,float64,,
energy_source_code_860m_co2_emissions_factor,float64,energy_source_code_860m_co2_emissions_factor,6.31E-08,2.74E-07,0,5.31E-08,float64,,
energy_source_code_860m_co2e_emissions_factor,float64,energy_source_code_860m_co2e_emissions_factor,6.33E-08,2.74E-07,0,5.31E-08,float64,,
rmi_fuel_group_1,object,rmi_fuel_group_1,,petroleum_coke,,natural_gas,category,mode,
rmi_fuel_group_2,object,rmi_fuel_group_2,,,,petroleum,category,mode,
rmi_fuel_group_3,object,rmi_fuel_group_3,,,,petroleum,category,mode,
rmi_fuel_group_4,object,rmi_fuel_group_4,,,,,category,mode,
ramp_up_rate,object,ramp_up_rate,,,,1H,category,,
prime_mover,object,Prime_with_CCs,,ST,CC,GT,category,mode,
prime_mover_code_BA,float64,prime_mover_code_BA,0,0,0,0,Int64,,
prime_mover_code_BT,float64,prime_mover_code_BT,0,0,0,0,Int64,,
prime_mover_code_CC,float64,prime_mover_code_CC,0.184991274,1,0,0,Int64,,
prime_mover_code_CE,float64,prime_mover_code_CE,0,0,0,0,Int64,,
prime_mover_code_CP,float64,prime_mover_code_CP,0,0,0,0,Int64,,
prime_mover_code_FC,float64,prime_mover_code_FC,0,0,0,0,Int64,,
prime_mover_code_FW,float64,prime_mover_code_FW,0,0,0,0,Int64,,
prime_mover_code_GT,float64,prime_mover_code_GT,0.502908668,1,0,1,Int64,,
prime_mover_code_HY,float64,prime_mover_code_HY,0,0,0,0,Int64,,
prime_mover_code_IC,float64,prime_mover_code_IC,0.0008726,1,0,0,Int64,,
prime_mover_code_OT,float64,prime_mover_code_OT,0,0,0,0,Int64,,
prime_mover_code_PS,float64,prime_mover_code_PS,0,0,0,0,Int64,,
prime_mover_code_PV,float64,prime_mover_code_PV,0,0,0,0,Int64,,
prime_mover_code_ST,float64,prime_mover_code_ST,0.311227458,1,0,0,Int64,,
prime_mover_code_WS,float64,prime_mover_code_WS,0,0,0,0,Int64,,
prime_mover_code_WT,float64,prime_mover_code_WT,0,0,0,0,Int64,,
fuel_group_rmi_energy_source_code_1,object,fuel_group_rmi_energy_source_code_1,,,,natural_gas,category,,
fuel_code_coal,float64,fuel_code_coal,0.18353694,1,0,0,Int64,,
fuel_code_natural_gas,float64,fuel_code_natural_gas,0.712332752,1,0,1,Int64,,
fuel_code_other_gas,float64,fuel_code_other_gas,0.003490401,1,0,0,Int64,,
fuel_code_petroleum,float64,fuel_code_petroleum,0.088132635,1,0,0,Int64,,
fuel_code_petroleum_coke,float64,fuel_code_petroleum_coke,0.002036067,1,0,0,Int64,,
age,,,,,,,,cap_wt_avg,
operating_date,datetime64[ns],Operating_Date,,1/1/21 00:00,1/1/25 00:00,6/1/00 00:00,datetime64[ns],,
age_as_of_2021,float64,age_as_of_2021,32.38032946,96.91643223,0.91446094,21.50078373,float64,,
plant_prime_fuel_1,object,plant_prime_fuel_1,,,,3406_GT|natural_gas,string,,
avg_plant_prime_fuel_age,float64,avg_plant_prime_fuel_age,32.97769873,73.25338645,0.91446094,21.50078373,float64,,
diff_age_and_avg_plant_prime_fuel,float64,diff_age_and_avg_plant_prime_fuel,-0.580866814,45.58136033,-52.33554876,0,float64,cap_wt_avg,
plant_gen_id,object,Plant_Gen_ID,,9_1,10017_GN11,10017_GN11,string,,
pollution_control_costs_per_kw,float64,pollution_control_costs_per_kW,69.38167923,13006.99301,0,0,float64,cap_wt_avg,
geoid,object,geoid,inf,5.60E+14,1.00E+13,3.60E+14,string,first,
state_id,object,state_id,inf,56,1,48,string,first,
county_id,object,county_id,inf,760,1,17,string,first,
census_tract_id,object,census_tract_id,inf,985700,100,1801,string,first,
block_group_id,object,block_group_id,inf,7014,1000,1001,string,first,
respondent_id,float64,respondent_id,292.0701493,671,2,581,Int64,first,
utility_name,object,utility_name,,,,Tennessee Valley Authority,string,first,
respondent_id_purchaser,float64,respondent_id_purchaser,55334.47901,63389,2876,56797,Int64,first,
final_respondent_id,Int64,final_respondent_id,292.0701493,671,2,581,Int64,,
resp_ba_cap,float64,resp_ba_cap,31545.87055,137686.9,48.9,137686.9,float64,,
generator_count,float64,generator_count,496.5017493,1981,1,1981,float64,,
patio_ba_code,object,patio_ba_code,,WALC,100,PJM,category,mode,
