prime_mover,cls,formula,variable,coefficient,category,variable_type
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + duct_burners_fixed_adj,capacity_adj,9734.659585665302,fixed,core
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + duct_burners_fixed_adj,age_variable_adj,-8.89660665078942e-6,variable,core
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + duct_burners_fixed_adj,age_obs_variable_adj,0.10126444290253933,variable,core
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + duct_burners_fixed_adj,pollution_variable_adj,-0.012130935780276334,variable,core
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + duct_burners_fixed_adj,starts_adj,-4.445015613485156,start,core
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + duct_burners_fixed_adj,oil_age_fixed_adj,187612.4939549305,fixed,optional
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + duct_burners_fixed_adj,duct_burners_fixed_adj,6387.102271804859,fixed,optional
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj,capacity_adj,21851.94235518698,fixed,core
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj,age_variable_adj,-0.10863536820830566,variable,core
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj,age_obs_variable_adj,-0.3335988903824883,variable,core
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj,pollution_variable_adj,0.010719557850963773,variable,core
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj,starts_adj,-4.976454247499222,start,core
CC,3,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gen_adj,capacity_adj,19881.452802963333,fixed,core
CC,3,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gen_adj,age_variable_adj,-0.08479248930623304,variable,core
CC,3,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gen_adj,age_obs_variable_adj,0.037002693309243426,variable,core
CC,3,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gen_adj,pollution_variable_adj,-0.03193360646157472,variable,core
CC,3,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gen_adj,starts_adj,-0.48112442164677693,start,core
CC,3,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gen_adj,gen_adj,-0.6907544156093208,variable,optional
CC,4,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,capacity_adj,16148.286324106548,fixed,core
CC,4,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,age_variable_adj,0.05974878946593502,variable,core
CC,4,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,age_obs_variable_adj,0.10586293571898933,variable,core
CC,4,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,pollution_variable_adj,-0.019046003239799353,variable,core
CC,4,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,starts_adj,-9.049347918505966,start,core
CC,4,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,age_fixed_adj,-421.7271376755721,fixed,optional
CC,4,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,duct_burners_fixed_adj,6963.288522671359,fixed,optional
CC,4,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,oil_starts_adj,745.1594341266912,start,optional
GT,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_age_fixed_adj + oil_starts_adj,capacity_adj,5232.06183743644,fixed,core
