prime_mover,rowid,CHP_fixed_adj,CHP_variable_adj,age_fixed_adj,age_obs_fixed_adj,age_obs_variable_adj,age_variable_adj,capacity_adj,duct_burners_fixed_adj,fluidized_bed_variable_adj,gas_age_fixed_adj,gas_age_variable_adj,gas_fixed_adj,gas_pollution_fixed_adj,gas_starts_adj,gen_adj,oil_age_fixed_adj,oil_fixed_adj,oil_starts_adj,oil_variable_adj,pollution_fixed_adj,pollution_variable_adj,pulverized_coal_fixed_adj,starts_adj,supercritical_fixed_adj,supercritical_variable_adj,real_opex
ST,1,0,0,2493.496106324607,1923.6784556201078,3062719.7556679826,3969935.7048004046,148.95559803163968,0,0,8.114646063516926,12919.459973353632,0.48474988757367693,1.7118607238007209,21.328995053241783,237154.63022211802,0,0,0,0,526.0263991744731,837495.1853558155,148.95559803163968,6554.046313392146,0,0,6691064.669630882
ST,2,0,0,2556.4448983841976,1717.123873117549,5262418.27818829,7834660.37078226,144.11293535298364,0,0,23.65605969172905,72498.02000926822,1.3335488682800176,4.63333613434785,18.669684155920244,441658.6112381142,0,0,0,0,500.7118124280893,1534516.5454152315,144.11293535298364,2017.581094941771,0,0,7263554.56884398
ST,3,0,0,2792.0402744975218,1626.4586805037418,3661189.2979796543,6284935.54435242,149.00025910559108,0,0,314.1409082186358,707137.134815785,16.76447046547931,56.464825982658986,150.8802341893138,335402.40558993444,0,0,0,0,501.8514434495595,1129677.105208786,149.00025910559108,1341.0023319503198,0,0,7519007.302212989
ST,4,0,0,2972.470053157998,1493.402186988494,1646088.1728338946,3276376.4786451436,150.59777713902469,0,0,525.2685007366896,578972.1443815713,26.61230128392783,87.8162345592979,159.67380770356698,165994.94895847046,0,0,0,0,496.9479933453366,547756.137955621,150.59777713902469,903.5866628341481,0,0,5645278.850982966
ST,5,0,0,3019.7188500017864,1297.940625749962,314905.32033626613,732641.7810797935,145.59975846289117,0,0,279.31800356882917,67767.9114471859,13.467688839288613,43.799607935099566,26.935377678577225,35325.29737494509,0,0,0,0,473.5194295190357,114884.90665894568,145.59975846289117,291.19951692578235,0,0,5542604.29071829
ST,8,0,0,3676.990065293917,916.4660486819646,71174.27380031715,285561.1487677639,154.90015006066062,0,0,3676.990065293917,285561.1487677639,154.90015006066062,488.9684571254323,1549.0015006066062,12029.802640243333,0,0,0,0,488.9684571254323,37974.101601707305,154.90015006066062,1549.0015006066062,0,0,7854770.701887789
ST,9,0,0,3802.5815145147176,755.3626277518166,63798.786018672385,321170.3563957532,153.7026182653766,0,0,3802.5815145147176,321170.3563957532,153.7026182653766,475.06762137718806,768.513091326883,12981.89782357665,0,0,0,0,475.06762137718806,40124.751221609535,153.7026182653766,768.513091326883,0,0,8923824.407877933
ST,10,0,0,4020.532055479806,611.5538181917196,125702.07122583427,826401.8501234096,156.2028196465214,0,0,4020.532055479806,826401.8501234096,156.2028196465214,471.2842907269376,624.8112785860856,32106.7702903748,0,0,0,0,471.2842907269376,96870.31577325931,156.2028196465214,624.8112785860856,0,0,9463967.139896989
ST,11,0,0,4417.023853321963,481.67289199206624,92666.18785587406,849764.9939630639,165.19344957756076,0,0,4417.023853321963,849764.9939630639,165.19344957756076,489.5398471505103,991.1606974653646,31780.586961838497,0,0,0,0,489.5398471505103,94179.66465036661,165.19344957756076,991.1606974653646,0,0,9560782.40004176
ST,12,0,0,4514.813894701138,311.94320236767544,11585.297509226666,167676.23648119316,162.76750666399064,0,0,4514.813894701138,167676.23648119316,162.76750666399064,476.4725593414157,162.76750666399064,6045.0427360643425,0,0,0,0,476.4725593414157,17695.773823744545,162.76750666399064,162.76750666399064,0,0,7273540.031958899
ST,13,0,0,2432.3233761268075,1923.6784556201078,5361006.63373001,6778524.610854975,148.95559803163968,0,0,3.1442370554299384,8762.522480268619,0.19255322525847857,0.6799884064151389,9.24255481240697,415117.1662009511,0,0,0,0,526.026399174473,1465957.5810357602,148.95559803163968,7149.868705518705,0,0,6691064.669630882
