rowid,cls
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,3
78,3
429,3
430,3
431,3
432,4
433,4
434,4
435,3
436,3
437,3
438,4
439,4
440,4
441,1
442,1
443,1
444,1
488,3
489,3
490,3
491,3
492,3
575,1
576,1
577,1
578,1
579,1
580,1
581,1
594,4
595,4
596,4
597,4
598,4
612,4
613,4
615,4
616,4
618,4
619,4
620,4
638,1
639,1
640,1
641,1
665,1
666,1
667,1
668,1
669,1
670,1
671,4
672,4
673,4
674,4
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,3
695,3
696,3
697,3
747,1
748,1
761,1
763,3
892,3
893,4
894,4
897,3
898,3
899,3
900,3
901,3
902,3
903,3
1113,3
1114,3
1115,3
1116,3
1117,3
1118,3
1119,3
1120,3
1121,3
1122,3
1123,3
1124,3
1125,3
1126,3
1127,3
1128,3
1130,2
1131,1
1269,4
1270,4
1271,4
1272,4
1273,4
1274,4
1275,4
1486,3
1487,3
1909,4
2263,3
2264,3
2265,3
2266,3
2267,3
2352,4
2353,4
2354,4
2355,4
2356,4
2357,4
2358,4
2923,4
2924,4
2925,4
2926,4
2927,4
2928,4
2929,3
2930,3
2931,3
2932,3
2933,3
2934,4
2935,3
2936,3
2937,3
2938,4
2939,3
2940,4
2965,4
2966,4
2967,4
2968,4
2969,4
2970,4
2971,4
2972,4
3156,4
3157,4
3158,4
3159,4
3160,4
3161,4
3162,4
3163,4
3164,4
3165,4
3166,4
3167,4
3537,4
3538,4
3539,4
3541,4
3543,3
3544,3
3545,3
3546,3
3547,3
3548,3
3550,3
3551,3
3552,3
3553,3
3554,3
3555,3
4261,3
4262,3
4263,3
4264,3
4265,3
4266,3
4267,3
4269,3
4343,3
4344,3
4345,3
4346,3
4347,3
4348,3
4349,3
4350,3
5118,3
5119,3
5716,4
5717,4
5718,4
5719,4
5720,4
5721,4
5722,4
5832,3
5833,3
5834,3
5835,3
5836,3
5837,3
5838,3
5839,3
5840,3
5841,4
5842,4
5843,4
5844,4
6858,1
6859,1
6860,1
6861,1
6862,1
6863,1
6864,1
6865,1
6866,3
6892,4
6893,4
6894,4
6895,4
6896,4
6897,4
6898,4
6899,4
6900,4
6901,4
6902,4
6903,4
6904,1
6905,1
6906,3
6907,3
6908,3
6909,3
6910,1
6911,1
6912,1
7173,4
7174,4
7175,4
7176,4
7437,3
7438,3
7439,3
7440,3
7441,3
7442,3
7443,3
7444,3
7445,3
7446,3
7447,4
7448,4
7449,4
7450,4
7451,4
7841,4
7842,4
7843,4
7844,4
7845,4
7846,4
7847,4
8133,3
8134,3
8135,3
8136,3
8137,3
8138,3
8139,3
8140,3
8141,3
8352,4
8353,4
8354,4
8355,4
8386,4
8387,4
8388,4
8389,4
8390,4
8391,4
8392,4
8422,4
8423,4
8424,4
8425,4
8426,4
8427,4
8428,4
8429,4
8430,4
8431,4
8432,4
8433,4
8434,4
8435,4
8436,4
8573,4
8631,4
8632,4
8633,4
8634,4
8635,4
8636,4
8637,4
8638,4
8639,4
8640,4
8641,4
8642,4
8643,4
8644,4
8645,4
8736,4
8737,4
8817,3
8818,3
8819,4
8820,4
8821,4
8822,4
8823,4
8824,4
8825,4
8826,4
8827,4
8828,4
8829,4
8830,4
8831,4
9164,4
9165,4
9166,4
9167,4
9168,4
9169,4
9170,4
9171,4
9172,4
9173,4
9174,4
9195,4
9196,4
9197,4
9198,4
9199,4
9200,4
9201,4
9202,4
9203,4
9231,4
9232,4
9233,4
9234,4
9235,4
9236,4
9237,4
9238,4
9239,4
9240,3
9241,4
9242,3
9243,4
9244,4
9245,4
9246,4
9247,4
9248,4
9249,4
9250,4
9251,4
9252,4
9253,4
9335,4
9336,4
9337,4
9338,4
9339,4
9340,4
9341,3
9342,4
9343,4
9344,4
9345,4
9346,4
9347,3
9348,3
9349,3
9350,3
9390,4
9391,4
9392,4
9393,4
9394,4
9395,4
9453,3
9454,3
9455,3
9456,3
9457,3
9458,3
9459,3
9460,3
9461,3
9462,3
9463,3
9464,4
9466,1
9467,1
9468,1
9469,1
9470,1
9471,1
9472,1
9473,1
9474,3
9475,3
9476,3
9477,4
9478,4
9479,3
9480,4
9481,4
9482,4
9483,4
9485,3
9486,3
9487,3
9488,3
9489,3
9490,3
9491,3
9492,3
9493,4
9494,4
9495,4
9496,4
9497,4
9498,4
9499,3
9500,3
9501,3
9502,3
9503,3
9504,3
9505,3
9506,3
9509,4
9512,4
9513,4
9514,4
9515,4
9516,4
9517,4
9518,4
9519,4
9520,4
9521,4
9522,4
9523,4
9524,4
9525,4
9526,4
9527,4
9528,4
9529,4
9552,4
9553,4
9554,4
9555,4
9572,4
9573,4
9574,4
9575,4
9576,4
9577,4
9578,4
9579,4
9588,3
9593,4
9594,4
9595,4
9596,4
9597,4
9598,4
9599,4
9600,4
9601,4
9602,4
9603,4
9604,4
9605,1
9606,1
9607,3
9608,3
9609,1
9610,3
9611,3
9612,4
9613,4
9614,4
9615,4
9616,4
9617,4
9618,4
9619,4
9620,4
9621,4
9622,4
9623,4
9624,4
9625,4
9626,4
9627,4
9628,4
9629,4
9630,4
9631,4
9632,4
9633,4
9634,4
9635,4
9637,1
9638,1
9639,3
9640,1
9641,3
9642,3
9643,4
9644,4
9645,4
9646,4
9647,4
9648,4
9649,4
9650,4
9651,4
9652,4
9653,4
9654,4
9655,4
9657,3
9672,4
9673,4
9674,4
9675,4
9676,4
9677,4
9678,4
9679,4
9680,4
9681,4
9682,4
9683,4
9700,3
9701,3
9702,1
9703,1
9704,3
9705,3
9706,1
9707,1
9709,3
9710,3
9711,3
9712,3
9713,3
9714,3
9715,3
9760,3
9761,3
9762,3
9763,4
9764,4
9765,4
9766,4
9793,4
9794,4
9795,4
9796,4
9797,4
9798,4
9799,4
9800,4
9801,4
9802,4
9803,4
9804,4
9805,3
9806,3
9807,4
9808,4
9810,3
9811,3
9813,3
9814,3
9815,3
9816,3
9817,3
9818,3
9819,4
9820,4
9821,4
9828,4
9829,4
9830,4
9831,4
9832,4
9833,4
9834,4
9835,4
9836,4
9837,4
9838,4
9839,4
9858,4
9859,4
9860,4
9861,4
9862,4
9863,4
9864,4
9865,4
9866,4
9867,4
9868,4
9869,4
9870,4
9872,3
9873,3
9874,3
9875,3
9876,4
9877,4
9878,4
9879,4
9880,4
9881,4
9882,3
9883,3
9884,4
9885,3
9886,3
9887,4
9888,4
9889,4
9890,4
9891,3
9892,3
9893,3
9894,1
9895,1
9896,1
9897,1
9899,1
9900,3
9901,3
9902,3
9903,3
9904,3
9905,3
9906,3
9907,3
9908,3
9909,3
9910,3
9911,3
9912,4
9913,4
9914,3
9915,4
9916,3
9917,3
9918,4
9919,4
9920,4
9921,4
9943,3
9944,3
9945,3
9946,3
9947,3
9948,3
9949,3
9950,3
9951,3
9952,4
9953,4
9954,4
9955,4
9956,4
9957,3
9958,3
9959,3
9960,3
9961,4
9962,4
9963,3
9964,3
9965,3
9966,3
9967,3
9968,4
9969,1
9970,1
9971,1
9972,1
9973,1
9974,1
9975,1
9976,1
10005,3
10006,3
10007,3
10008,4
10009,4
10010,3
10011,4
10012,4
10013,4
10014,4
10015,4
10016,4
10017,4
10018,3
10019,3
10020,4
10021,4
10022,4
10023,4
10024,3
10025,3
10026,3
10027,3
10028,3
10029,3
10030,3
10031,3
10032,3
10033,3
10034,3
10061,1
10062,1
10063,1
10064,1
10065,1
10066,3
10067,1
10068,1
10069,1
10070,1
10071,1
10072,1
10073,1
10074,1
10075,1
10076,1
10077,1
10078,1
10079,2
10081,2
10082,2
10083,2
10162,3
10165,3
10168,3
10169,3
10170,3
10171,3
10197,3
10199,3
10200,3
10201,3
10202,3
10203,3
10215,3
10216,3
10217,3
10218,3
10219,3
10220,3
10221,3
10222,3
10223,3
10234,4
10235,4
10236,4
10237,4
10238,4
10239,4
10240,4
10241,4
10243,3
10244,3
10245,3
10246,3
10247,3
10248,3
10259,3
10260,3
10261,4
10264,1
10266,1
10271,3
10272,3
10273,3
10274,3
10284,1
10285,3
10286,3
10287,4
10288,4
10289,4
10290,4
10291,4
10293,1
10300,1
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
170,1
171,1
172,1
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
599,1
600,1
601,1
602,1
603,1
604,1
605,2
606,2
607,2
609,2
610,2
611,2
630,3
631,3
632,3
633,3
634,3
635,3
636,3
698,3
699,3
700,3
701,3
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,3
749,3
750,3
751,3
753,3
754,3
755,3
756,3
757,3
758,3
759,3
760,3
764,3
765,3
766,3
767,3
768,3
769,3
770,3
796,3
797,3
798,3
799,3
800,3
801,3
802,3
904,3
907,3
908,3
909,3
910,3
961,3
962,3
963,3
964,3
965,3
966,3
968,3
969,3
970,3
971,3
1023,3
1024,3
1025,3
1026,3
1101,3
1102,3
1103,3
1104,3
1105,3
1106,3
1107,3
1108,3
1109,3
1110,3
1111,3
1112,3
1156,3
1157,3
1158,3
1159,3
