prime_mover,cls,formula,mean_rmse
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj,6462210.679841997
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj,6462210.679841997
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + duct_burners_fixed_adj,6298144.7009107
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj,6339073.474106994
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,6373145.5747687295
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,6341171.710206014
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + gen_adj,6552277.959147699
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + gen_adj + oil_starts_adj,6580849.174290885
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + oil_starts_adj,6512715.705624237
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj,6601297.9305686075
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj,6601297.9305686075
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj,6383211.37641491
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj,6294243.999000462
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,6296560.968268951
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,6400086.151543667
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + gen_adj,6468825.4298492605
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + gen_adj + oil_starts_adj,6467430.46304961
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + oil_starts_adj,6606794.01051649
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj,6383211.37641491
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj + gen_adj,6294243.999000462
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,6296560.968268951
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,6400086.151543667
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + gen_adj,6468825.4298492605
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + gen_adj + oil_starts_adj,6467430.46304961
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj,6278629.128576404
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj,6278629.128576404
